service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF12-29-664-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-670-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-671-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-672-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-675-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-677-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-679-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-680-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-682-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-688-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-689-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-690-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-693-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-694-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-695-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-697-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-732-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-735-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-738-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-742-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-753-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-754-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-755-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF12-29-765-aus","0","0","0","1","1","0","0","20251201","20260301"
"MF1-23-526-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-23-527-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-23-548-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-23-549-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-23-550-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-23-551-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF12-37-510-aus","0","1","0","0","0","0","0","20251201","20260301"
"MF12-37-512-aus","0","1","0","0","0","0","0","20251201","20260301"
"MF1-23-951-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-23-953-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-23-959-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-41-978-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-41-979-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-41-981-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-41-982-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-42-357-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-42-386-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-49-606-aus","0","1","0","0","0","0","0","20251201","20260301"
"MF12-49-612-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF12-49-623-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF12-49-626-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF12-49-630-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF12-53-400-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF12-53-432-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF12-53-456-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF12-53-458-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-27-786-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-27-787-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-27-788-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-27-887-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF13-21-670-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF13-21-693-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF13-22-688-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-22-699-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-663-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-664-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-670-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-671-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-672-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-675-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-677-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-679-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-680-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-682-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-688-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-689-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-690-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-693-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-694-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-695-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-697-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-732-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-735-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-738-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-742-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-753-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-754-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-755-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-29-765-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF13-37-510-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF13-37-512-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-36-444-aus","1","1","1","0","0","0","0","20251201","20260301"
