stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"10125","10125","Chirnside Homemaker Centre/Maroondah Hwy","-37.76421039","145.30678445","","","0","Level 0",""
"10126","10126","Fletcher Rd/Maroondah Hwy","-37.76190865","145.31029930","","","0","Level 0",""
"1013","1013","Curtin Ave/Dalton Rd","-37.66550757","145.03221227","","","0","Level 0",""
"10131","10131","Powell St/Spring St","-37.72663676","145.00119751","","","0","Level 0",""
"10132","10132","Frankston St/Spring St","-37.72494772","145.00150387","","","0","Level 0",""
"10133","10133","Broughton Ave/Spring St","-37.72369871","145.00171898","","","0","Level 0",""
"10134","10134","Reservoir St/Spring St","-37.72161757","145.00281868","","","0","Level 0",""
"10135","10135","Croft Cres/Spring St","-37.72031608","145.00419237","","","0","Level 0",""
"10137","10137","Viola St/Spring St","-37.71859025","145.00552066","","","0","Level 0",""
"10138","10138","Compton St/Edwardes St","-37.71587320","145.00206539","","","0","Level 0",""
"10139","10139","Kelsby St/Edwardes St","-37.71540604","144.99790320","","","0","Level 0",""
"1014","1014","Childs Rd/Dalton Rd","-37.66193757","145.03105956","","","0","Level 0",""
"10140","10140","Gilbert Rd/Edwardes St","-37.71605004","144.99284891","","","0","Level 0",""
"10141","10141","Pitt St/Edwardes St","-37.71433320","144.98782437","","","0","Level 0",""
"10142","10142","Newlands Rd/Edwardes St","-37.71400911","144.98467946","","","0","Level 0",""
"10144","10144","Newlands Rd/Henty St","-37.71751675","144.98268985","","","0","Level 0",""
"10145","10145","Kurnai Ave/Henty St","-37.71771013","144.98451110","","","0","Level 0",""
"10146","10146","Wattlebrae St/Henty St","-37.71791593","144.98970143","","","0","Level 0",""
"10147","10147","Boniview St/Henty St","-37.71819909","144.99150894","","","0","Level 0",""
"10148","10148","Henty St/Gilbert Rd","-37.71860851","144.99332441","","","0","Level 0",""
"10149","10149","Kia Ora Rd/Gilbert Rd","-37.72002827","144.99308189","","","0","Level 0",""
"1015","1015","Holroyd Dr/Dalton Rd","-37.65940225","145.03034436","","","0","Level 0",""
"10150","10150","Dwyer Ave/Gilbert Rd","-37.72378444","144.99244725","","","0","Level 0",""
"10151","10151","Knox St/Gilbert Rd","-37.72541980","144.99216483","","","0","Level 0",""
"10152","10152","Beatty St/Gilbert Rd","-37.72640756","144.99195662","","","0","Level 0",""
"10153","10153","Gilbert Rd/Regent St","-37.72944890","144.99168157","","","0","Level 0",""
"10154","10154","Edwardes St/Kelsby St","-37.71514120","144.99822797","","","0","Level 0",""
"10155","10155","Leamington St/Kelsby St","-37.71250846","144.99868452","","","0","Level 0",""
"10157","10157","Seaver Gr/Leamington St","-37.71127601","144.99086780","","","0","Level 0",""
"10158","10158","Gill St/Banbury Rd","-37.71260107","144.98930057","","","0","Level 0",""
"10159","10159","Edwardes St/Banbury Rd","-37.71404765","144.98904593","","","0","Level 0",""
"1016","1016","Grand Pde/Dalton Rd","-37.65686651","145.03068343","","","0","Level 0",""
"10160","10160","Luther College/Plymouth Rd","-37.78317077","145.27132096","","","0","Level 0",""
"10161","10161","Luther College/Plymouth Rd","-37.78345349","145.27339239","","","0","Level 0",""
"10162","10162","Plymouth Rd/Yarra Rd","-37.78365799","145.27443231","","","0","Level 0",""
"10164","10164","Clement Cres/Croydon Rd","-37.78452504","145.28381444","","","0","Level 0",""
"10165","10165","Grandview Ave/Croydon Rd","-37.78661070","145.28345959","","","0","Level 0",""
"10166","10166","Samuel St/Croydon Rd","-37.78999558","145.28258633","","","0","Level 0",""
"10167","10167","Croydon PS/Croydon Rd","-37.79255508","145.28197059","","","0","Level 0",""
"10168","10168","Larissa Ave/Maroondah Hwy","-37.81209504","145.23574985","","","0","Level 0",""
"10169","10169","Oliver St/Maroondah Hwy","-37.80945219","145.23920915","","","0","Level 0",""
"1017","1017","Melbourne Polytechnic/Dalton Rd","-37.65453985","145.03113030","","","0","Level 0",""
"10170","10170","Rupert St/Maroondah Hwy","-37.80850283","145.24020858","","","0","Level 0",""
"10171","10171","Leonard St/Maroondah Hwy","-37.80707171","145.24213948","","","0","Level 0",""
"10172","10172","Mines Rd/Maroondah Hwy","-37.80504761","145.24479993","","","0","Level 0",""
"10173","10173","Dublin Rd/Maroondah Hwy","-37.80268077","145.24744562","","","0","Level 0",""
"10174","10174","Everard Rd/Maroondah Hwy","-37.80176258","145.24872807","","","0","Level 0",""
"10175","10175","463 Maroondah Hwy","-37.80032061","145.25054530","","","0","Level 0",""
"10176","10176","Oban Rd/Maroondah Hwy","-37.79804860","145.25351777","","","0","Level 0",""
"10177","10177","Maggs St/Maroondah Hwy","-37.79398932","145.25934856","","","0","Level 0",""
"10178","10178","Hinkley Ave/Maroondah Hwy","-37.79196732","145.26217837","","","0","Level 0",""
"10179","10179","Cherry Tree Gr/Maroondah Hwy","-37.78960612","145.26707142","","","0","Level 0",""
"1018","1018","Coulstock St/Davisson St","-37.64972294","145.02978404","","","0","Level 0",""
"10180","10180","Highland Ave/Maroondah Hwy","-37.78824725","145.27088471","","","0","Level 0",""
"10184","10184","Warrien Rd/Maroondah Hwy","-37.78236673","145.28475006","","","0","Level 0",""
"10185","10185","Bonnie View Rd/Maroondah Hwy","-37.78092008","145.28814455","","","0","Level 0",""
"10186","10186","Primrose Rd/Maroondah Hwy","-37.77462562","145.29284266","","","0","Level 0",""
"10187","10187","Exeter Rd/Maroondah Hwy","-37.77044578","145.29545922","","","0","Level 0",""
"10188","10188","Maroondah Golf Park/Maroondah Hwy","-37.76634628","145.30177461","","","0","Level 0",""
"10189","10189","Old Melbourne Rd/Maroondah Hwy","-37.76527574","145.30441018","","","0","Level 0",""
"1019","1019","Davisson St/Rufus St","-37.64897429","145.03082392","","","0","Level 0",""
"10190","10190","Chirnside Homemaker Centre/Maroondah Hwy","-37.76406395","145.30662885","","","0","Level 0",""
"10195","10195","High St/Miller St","-37.75211598","145.00028503","","","0","Level 0",""
"10196","10196","William St/Regent St","-37.73069693","145.00360731","","","0","Level 0",""
"10197","10197","Regent St/Spring St","-37.72971721","145.00057004","","","0","Level 0",""
"10198","10198","Rona St/Spring St","-37.72843236","145.00079749","","","0","Level 0",""
"10199","10199","Powell St/Spring St","-37.72668889","145.00108265","","","0","Level 0",""
"102","102","Lalor Shopping Centre/David St","-37.67173759","145.01677571","","","0","Level 0",""
"1020","1020","Keith Ave/Greenbrook Dr","-37.64768064","145.03539174","","","0","Level 0",""
"10200","10200","Frankston St/Spring St","-37.72449713","145.00150464","","","0","Level 0",""
"10201","10201","Taylor Ave/Spring St","-37.72337404","145.00170501","","","0","Level 0",""
"10202","10202","Moore Cres/Spring St","-37.72137589","145.00291594","","","0","Level 0",""
"10203","10203","Cleeland St/Spring St","-37.71796297","145.00573035","","","0","Level 0",""
"10204","10204","Reservoir Station/Edwardes St","-37.71643950","145.00623633","","","0","Level 0",""
"10205","10205","Olive St/Edwardes St","-37.71621177","145.00449537","","","0","Level 0",""
"10206","10206","Kelsby St/Edwardes St","-37.71554675","144.99822840","","","0","Level 0",""
"10207","10207","Willoughby St/Edwardes St","-37.71538658","144.99675794","","","0","Level 0",""
"10208","10208","Gilbert Rd/Edwardes St","-37.71631622","144.99260349","","","0","Level 0",""
"10209","10209","Pitt St/Edwardes St","-37.71445321","144.98799129","","","0","Level 0",""
"1021","1021","McDonalds Rd/Greenbrook Dr","-37.64645002","145.03671624","","","0","Level 0",""
"10210","10210","Newlands Rd/Edwardes St","-37.71407768","144.98447341","","","0","Level 0",""
"10211","10211","Newlands Rd/Henty St","-37.71743704","144.98277142","","","0","Level 0",""
"10212","10212","Meadowbank Dr/Furlong Rd","-37.76142262","144.82225064","","","0","Level 0",""
"10213","10213","Sunshine Hospital/Furlong Rd","-37.76073025","144.81600520","","","0","Level 0",""
"10214","10214","Ironbark St/Furlong Rd","-37.76043529","144.81322154","","","0","Level 0",""
"10215","10215","Ginifer Station/Mulhall Dr","-37.75814585","144.81076913","","","0","Level 0",""
"1022","1022","Greenbrook SC/McDonalds Rd","-37.64583938","145.04009848","","","0","Level 0",""
"10224","10224","St Albans Sec Col/Main Rd East","-37.74497370","144.80656120","","","0","Level 0",""
"10225","10225","Lester Ave/Main Rd East","-37.74542182","144.81030437","","","0","Level 0",""
"10227","10227","Lyons St/Hyde St","-37.80816434","144.89955730","","","0","Level 0",""
"10228","10228","Princess St/Hyde St","-37.81124708","144.89808415","","","0","Level 0",""
"10229","10229","Somerville Rd/Hyde St","-37.81468058","144.89707801","","","0","Level 0",""
"1023","1023","Greenview Ct/McDonalds Rd","-37.64622011","145.04348865","","","0","Level 0",""
"10230","10230","Lennox St/Hyde St","-37.81633282","144.89674713","","","0","Level 0",""
"10231","10231","204 Hyde St","-37.81787818","144.89648743","","","0","Level 0",""
"10232","10232","Kent St/Hyde St","-37.82016030","144.89610455","","","0","Level 0",""
"10233","10233","Hyde St/Francis St","-37.82174027","144.89576431","","","0","Level 0",""
