stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"12229","Nunawading Station","-37.82045851","145.17486120","","vic:rail:NWG","1","Level -1","2"
"12230","Nunawading Station","-37.82053075","145.17487078","","vic:rail:NWG","1","Level -1","1"
"12231","Mitcham Station","-37.81798383","145.19321242","","vic:rail:MCH","1","Level -1","2"
"12232","Mitcham Station","-37.81804724","145.19323360","","vic:rail:MCH","1","Level -1","1"
"12233","Heatherdale Station","-37.81873341","145.21458608","","vic:rail:HTD","1","Level 0","2"
"12234","Heatherdale Station","-37.81883250","145.21458369","","vic:rail:HTD","1","Level 0","1"
"12235","Ringwood Station","-37.81568389","145.22928003","","vic:rail:RWD","1","Level 0","3"
"12236","Ringwood Station","-37.81603963","145.22896480","","vic:rail:RWD","1","Level 0","1"
"12237","Ringwood Station","-37.81596637","145.22888703","","vic:rail:RWD","1","Level 0","2"
"12238","Auburn Station","-37.82253474","145.04591958","","vic:rail:AUB","1","Level 1","1"
"12239","Auburn Station","-37.82243585","145.04593355","","vic:rail:AUB","1","Level 1","2"
"12240","Auburn Station","-37.82235496","145.04594705","","vic:rail:AUB","1","Level 1","3"
"12241","Glenferrie Station","-37.82158336","145.03640166","","vic:rail:GFE","1","Level 1","1"
"12242","Glenferrie Station","-37.82147545","145.03641588","","vic:rail:GFE","1","Level 1","2"
"12243","Glenferrie Station","-37.82141202","145.03639484","","vic:rail:GFE","1","Level 1","3"
"12244","Hawthorn Station","-37.82207113","145.02300573","","vic:rail:HAW","1","Level 0","1"
"12245","Hawthorn Station","-37.82196208","145.02295183","","vic:rail:HAW","1","Level 0","2"
"12246","Hawthorn Station","-37.82189883","145.02294216","","vic:rail:HAW","1","Level 0","3"
"12247","Burnley Station","-37.82768805","145.00765396","","vic:rail:BLY","1","Level 0","1"
"12248","Burnley Station","-37.82761657","145.00768997","","vic:rail:BLY","1","Level 0","2"
"12249","Burnley Station","-37.82752649","145.00769239","","vic:rail:BLY","1","Level 0","3"
"12250","Burnley Station","-37.82748126","145.00768225","","vic:rail:BLY","1","Level 0","4"
"12251","East Richmond Station","-37.82650824","144.99707413","","vic:rail:ERM","1","Level -1","1"
"12252","East Richmond Station","-37.82637409","144.99713456","","vic:rail:ERM","1","Level -1","2"
"12253","Richmond Station","-37.82416288","144.98953700","","vic:rail:RMD","1","Level 2","1"
"12254","Richmond Station","-37.82412704","144.98954933","","vic:rail:RMD","1","Level 2","2"
"12255","Richmond Station","-37.82403755","144.98958585","","vic:rail:RMD","1","Level 2","3"
"12256","Richmond Station","-37.82401091","144.98960929","","vic:rail:RMD","1","Level 2","4"
"12257","Richmond Station","-37.82392103","144.98962309","","vic:rail:RMD","1","Level 2","5"
"12258","Richmond Station","-37.82389420","144.98963518","","vic:rail:RMD","1","Level 2","6"
